,ticker,name,sectors,industry
266,BSHSL,Bombay Super Hybrid Seeds Limited,Basic Materials,Agricultural Inputs
267,BSL,BSL Limited,Consumer Cyclical,Textile Manufacturing
268,BSOFT,Birlasoft Limited,Technology,Information Technology Services
269,BURNPUR,Burnpur Cement Limited,Basic Materials,Building Materials
270,BUTTERFLY,Butterfly Gandhimathi Appliances Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
271,BVCL,Barak Valley Cements Limited,Basic Materials,Building Materials
272,BYKE,The Byke Hospitality Limited,Consumer Cyclical,Lodging
273,CALSOFT,California Software Company Limited,Technology,Software—Application
274,CAMLINFINE,Camlin Fine Sciences Limited,Basic Materials,Specialty Chemicals
275,CAMPUS,Campus Activewear Limited,Consumer Cyclical,Footwear & Accessories
276,CAMS,Computer Age Management Services Limited,Technology,Information Technology Services
277,CANBK,Canara Bank,Financial Services,Banks—Regional
278,CANDC,C & C Constructions Limited,Industrials,Engineering & Construction
279,CANFINHOME,Can Fin Homes Limited,Financial Services,Mortgage Finance
280,CANTABIL,Cantabil Retail India Limited,Consumer Cyclical,Apparel Manufacturing
281,CAPACITE,Capacit'e Infraprojects Limited,Industrials,Engineering & Construction
282,CAPLIPOINT,Caplin Point Laboratories Limited,Healthcare,Drug Manufacturers—Specialty & Generic
283,CAPTRUST,Capital Trust Limited,Financial Services,Credit Services
284,CARBORUNIV,Carborundum Universal Limited,Industrials,Conglomerates
285,CAREERP,Career Point Limited,Industrials,Conglomerates
286,CARERATING,CARE Ratings Limited,Financial Services,Financial Data & Stock Exchanges
287,CARTRADE,CarTrade Tech Limited,Consumer Cyclical,Auto & Truck Dealerships
288,CASTROLIND,Castrol India Limited,Energy,Oil & Gas Refining & Marketing
289,CCCL,Consolidated Construction Consortium Limited,Industrials,Engineering & Construction
290,CCHHL,Country Club Hospitality & Holidays Limited,Consumer Cyclical,Lodging
291,CCL,CCL Products (India) Limited,Consumer Defensive,Packaged Foods
292,CDSL,Central Depository Services (India) Limited,Financial Services,Capital Markets
293,CEATLTD,CEAT Limited,Consumer Cyclical,Auto Parts
294,CELEBRITY,Celebrity Fashions Limited,Consumer Cyclical,Apparel Manufacturing
295,CENTENKA,Century Enka Limited,Consumer Cyclical,Textile Manufacturing
296,CENTEXT,Century Extrusions Limited,Basic Materials,Aluminum
297,CENTRALBK,Central Bank of India,Financial Services,Banks—Regional
298,CENTRUM,Centrum Capital Limited,Financial Services,Financial Conglomerates
299,CENTUM,Centum Electronics Limited,Technology,Electronic Components
300,CENTURYPLY,Century Plyboards (India) Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
301,CENTURYTEX,Century Textiles and Industries Limited,Basic Materials,Paper & Paper Products
302,CERA,Cera Sanitaryware Limited,Industrials,Building Products & Equipment
303,CEREBRAINT,Cerebra Integrated Technologies Limited,Technology,Computer Hardware
304,CESC,CESC Limited,Utilities,Utilities—Independent Power Producers
305,CGCL,Capri Global Capital Limited,Financial Services,Credit Services
306,CGPOWER,CG Power and Industrial Solutions Limited,Industrials,Electrical Equipment & Parts
307,CHALET,Chalet Hotels Limited,Consumer Cyclical,Lodging
308,CHAMBLFERT,Chambal Fertilisers and Chemicals Limited,Basic Materials,Agricultural Inputs
309,CHEMBOND,Chembond Chemicals Limited,Basic Materials,Specialty Chemicals
310,CHEMCON,Chemcon Speciality Chemicals Limited,Basic Materials,Specialty Chemicals
311,CHEMFAB,Chemfab Alkalis Limited,Basic Materials,Specialty Chemicals
312,CHEMPLASTS,Chemplast Sanmar Limited,Basic Materials,Chemicals
313,CHENNPETRO,Chennai Petroleum Corporation Limited,Energy,Oil & Gas Refining & Marketing
314,CHEVIOT,Cheviot Company Limited,Consumer Cyclical,Textile Manufacturing
315,CHOICEIN,Choice International Limited,Financial Services,Capital Markets
316,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Financial Services,Credit Services
317,CHOLAHLDNG,Cholamandalam Financial Holdings Limited,Financial Services,Credit Services
318,CIGNITITEC,Cigniti Technologies Limited,Technology,Information Technology Services
319,CINELINE,Cineline India Limited,Real Estate,Real Estate Services
320,CINEVISTA,Cinevista Limited,Communication Services,Entertainment
321,CIPLA,Cipla Limited,Healthcare,Drug Manufacturers—General
322,CLEAN,Clean Science and Technology Limited,Basic Materials,Specialty Chemicals
323,CLEDUCATE,CL Educate Limited,Consumer Defensive,Education & Training Services
